Angle,Posit-sin,MPFR-sin,Error,Posit-cos,MPFR-cos,Error,Posit-tan,MPFR-tan,Error,Float-sin,Mathlib-sin,Error,Float-cos,Mathlib-cos,Error,Float-tan,Mathlib-tan,Error
43,6.81998372077941894531E-01,6.81998360062498476530E-01,-1.76179946392706486608E-08,7.31353703886270523071E-01,7.31353701619170570858E-01,-3.09986806815956268990E-09,9.32515099644660949707E-01,9.32515086137661541876E-01,-1.44844835132756080646E-08,6.81998359043448298955E-01,6.81998360062498476530E-01,1.49421206450103943223E-09,7.31353702569449870552E-01,7.31353701619170570858E-01,-1.29934298218521040223E-09,9.32515083532629351915E-01,9.32515086137661541876E-01,2.79355500912208376803E-09
44,6.94658365100622177124E-01,6.94658370458997254104E-01,7.71368387414740692745E-09,7.19339806586503982544E-01,7.19339800338651191858E-01,-8.68553749189605756900E-09,9.65688757598400115967E-01,9.65688774807073935236E-01,1.78201034053619732898E-08,6.94658369475782078162E-01,6.94658370458997254104E-01,1.41539383638739388563E-09,7.19339801288131130974E-01,7.19339800338651191858E-01,-1.31993244176023468042E-09,9.65688772165600006758E-01,9.65688774807073935236E-01,2.73532632602588011869E-09
45,7.07106787711381912231E-01,7.07106781186547461715E-01,-9.22750931412455636012E-09,7.07106787711381912231E-01,7.07106781186547572737E-01,-9.22750925289221703958E-09,1.00000000000000000000E+00,9.99999999999999888978E-01,-6.12323399573676603587E-17,7.07106782141383893858E-01,7.07106781186547461715E-01,-1.35034263218488575634E-09,7.07106780231711584683E-01,7.07106781186547572737E-01,1.35034200414790207109E-09,1.00000000270068456487E+00,9.99999999999999888978E-01,-2.70068467589368352014E-09
46,7.19339806586503982544E-01,7.19339800338651080835E-01,-8.68553765824043431836E-09,6.94658365100622177124E-01,6.94658370458997365127E-01,7.71368405252231008630E-09,1.03553032875061035156E+00,1.03553031379056936778E+00,-1.44467437497269448357E-08,7.19339801288131130974E-01,7.19339800338651080835E-01,-1.31993259609939757420E-09,6.94658369475782078162E-01,6.94658370458997365127E-01,1.41539399621027517010E-09,1.03553031662308292482E+00,1.03553031379056936778E+00,-2.73532654652083661236E-09
47,7.31353703886270523071E-01,7.31353701619170459836E-01,-3.09986812525964309186E-09,6.81998372077941894531E-01,6.81998360062498476530E-01,-1.76179945736070035371E-08,1.07236869633197784424E+00,1.07236871002468259206E+00,1.27686537270653948186E-08,7.31353702569449870552E-01,7.31353701619170459836E-01,-1.29934313398905355159E-09,6.81998359043448298955E-01,6.81998360062498476530E-01,1.49421206450103943223E-09,1.07236871302040381870E+00,1.07236871002468259206E+00,-2.79355523770425069378E-09
48,7.43144821375608444214E-01,7.43144825477394133095E-01,5.51949714720960726178E-09,6.69130608439445495605E-01,6.69130606358858237570E-01,-3.10938882519508826251E-09,1.11061250418424606323E+00,1.11061251482919276512E+00,9.58475301618126923626E-09,7.43144826407735714646E-01,7.43144825477394133095E-01,-1.25189808184867723893E-09,6.69130605325609417733E-01,6.69130606358858237570E-01,1.54416613142203739718E-09,1.11061251793453652503E+00,1.11061251482919276512E+00,-2.79606408036042982540E-09
49,7.54709586501121520996E-01,7.54709580222772014046E-01,-8.31889473453397937136E-09,6.56059034168720245361E-01,6.56059028990507275836E-01,-7.89290703624108061363E-09,1.15036840736865997314E+00,1.15036840722100941470E+00,-1.28350641808833491133E-10,7.54709581141684737737E-01,7.54709580222772014046E-01,-1.21757129864388718756E-09,6.56059027933419192102E-01,6.56059028990507275836E-01,1.61126977455072769708E-09,1.15036841047521898318E+00,1.15036840722100941470E+00,-2.82884121995586865335E-09
50,7.66044434159994125366E-01,7.66044443118978013452E-01,1.16951228827172598210E-08,6.42787624150514602661E-01,6.42787609686539362919E-01,-2.25019509426799167922E-08,1.19175355136394500732E+00,1.19175359259420998725E+00,3.45963000700121341689E-08,7.66044444022853765475E-01,7.66044443118978013452E-01,-1.17992599534151653293E-09,6.42787608609342697719E-01,6.42787609686539362919E-01,1.67582051826640453934E-09,1.19175359599755603668E+00,1.19175359259420998725E+00,-2.85574641484055932623E-09
51,7.77145963162183761597E-01,7.77145961456970790771E-01,-2.19419907533880474860E-09,6.29320390522480010986E-01,6.29320391049837501996E-01,8.37979403981892217747E-10,1.23489715903997421265E+00,1.23489715653505105486E+00,-2.02844672152006207224E-09,7.77145962368193776726E-01,7.77145961456970790771E-01,-1.17252489383979770241E-09,6.29320389924570844364E-01,6.29320391049837501996E-01,1.78806641836910876908E-09,1.23489716019107698131E+00,1.23489715653505105486E+00,-2.96059142018312096184E-09
52,7.88010761141777038574E-01,7.88010753606722014197E-01,-9.56212212993312434734E-09,6.15661479532718658447E-01,6.15661475325658291702E-01,-6.83339882080176891510E-09,1.27994163334369659424E+00,1.27994163219307877100E+00,-8.98961105412899224123E-10,7.88010754495444776246E-01,7.88010753606722014197E-01,-1.12780537318991957458E-09,6.15661474188145096953E-01,6.15661475325658291702E-01,1.84762769856140061681E-09,1.27994163600145949289E+00,1.27994163219307877100E+00,-2.97543311827987892293E-09
53,7.98635516315698623657E-01,7.98635510047292829228E-01,-7.84889443940535319839E-09,6.01815026253461837769E-01,6.01815023152048378385E-01,-5.15343318135369860675E-09,1.32704482227563858032E+00,1.32704482162040982018E+00,-4.93750248799434353109E-10,7.98635510922249824972E-01,7.98635510047292829228E-01,-1.09556485372489478456E-09,6.01815021990941168006E-01,6.01815023152048378385E-01,1.92934234891247153053E-09,1.32704482563459724709E+00,1.32704482162040982018E+00,-3.02490719341519273826E-09
54,8.09017010033130645752E-01,8.09016994374947451263E-01,-1.93545788927983737175E-08,5.87785255163908004761E-01,5.87785252292473137103E-01,-4.88517674553775813485E-09,1.37638194113969802856E+00,1.37638192047117335903E+00,-1.50165621106250546735E-08,8.09016995248223458326E-01,8.09016994374947451263E-01,-1.07942850784931122152E-09,5.87785251090512161909E-01,5.87785252292473137103E-01,2.04489815031368019572E-09,1.37638192477144039039E+00,1.37638192047117335903E+00,-3.12432688005812418520E-09
