Angle,Posit-sin,MPFR-sin,Error,Posit-cos,MPFR-cos,Error,Posit-tan,MPFR-tan,Error
133,7.3135370389E-01,7.3135370162E-01,-3.0998680111E-09,-6.8199835718E-01,-6.8199836006E-01,4.2312677955E-09,-1.0723687187E+00,-1.0723687100E+00,-8.0746824488E-09
134,7.1933979914E-01,7.1933980034E-01,1.6719886594E-09,-6.9465837255E-01,-6.9465837046E-01,-3.0118484415E-09,-1.0355303064E+00,-1.0355303138E+00,7.1380833066E-09
135,7.0710677654E-01,7.0710678119E-01,6.5775589999E-09,-7.0710678771E-01,-7.0710678119E-01,-9.2275093754E-09,-9.9999998510E-01,-1.0000000000E+00,1.4901161378E-08
136,6.9465837255E-01,6.9465837046E-01,-3.0118482513E-09,-7.1933979914E-01,-7.1933980034E-01,1.6719884820E-09,-9.6568877995E-01,-9.6568877481E-01,-5.3258029843E-09
137,6.8199835718E-01,6.8199836006E-01,4.2312679925E-09,-7.3135370389E-01,-7.3135370162E-01,-3.0998681824E-09,-9.3251508102E-01,-9.3251508614E-01,5.4899404914E-09
138,6.6913060099E-01,6.6913060636E-01,8.0253293511E-09,-7.4314483255E-01,-7.4314482548E-01,-9.5191206666E-09,-9.0040402859E-01,-9.0040404430E-01,1.7440333167E-08
139,6.5605903044E-01,6.5605902899E-01,-2.2146218572E-09,-7.5470957905E-01,-7.5470958022E-01,1.5532214077E-09,-8.6928674206E-01,-8.6928673782E-01,-4.8834863481E-09
140,6.4278760552E-01,6.4278760969E-01,6.4756636591E-09,-7.6604444534E-01,-7.6604444312E-01,-2.8939405933E-09,-8.3909962326E-01,-8.3909963118E-01,9.4320123803E-09
141,6.2932039425E-01,6.2932039105E-01,-5.0815651258E-09,-7.7714595944E-01,-7.7714596146E-01,2.5993536225E-09,-8.0978403986E-01,-8.0978403320E-01,-8.2244095794E-09
142,6.1566147581E-01,6.1566147533E-01,-7.8252413804E-10,-7.8801075369E-01,-7.8801075361E-01,-1.0719977415E-10,-7.8128562868E-01,-7.8128562651E-01,-2.7770853373E-09
143,6.0181501880E-01,6.0181502315E-01,7.2267503998E-09,-7.9863551259E-01,-7.9863551005E-01,-3.1843254985E-09,-7.5355404243E-01,-7.5355405010E-01,1.0183824346E-08
